date,nav,position
2023-06-02,100000.0,现金
2023-06-09,100000.0,现金
2023-06-16,100000.0,现金
2023-06-23,100000.0,现金
2023-06-30,100000.0,现金
2023-07-07,100038.02904000001,"标普500ETF(50%), 黄金ETF(50%)"
2023-07-14,100736.02904,"标普500ETF(33%), 恒生科技ETF(33%), 黄金ETF(33%)"
2023-07-21,102245.22904,"标普500ETF(33%), 黄金ETF(33%), 恒生科技ETF(33%)"
2023-07-28,100439.81479,"标普500ETF(33%), 沪深300ETF(33%), 恒生科技ETF(33%)"
2023-08-04,100184.30961000003,"沪深300ETF(50%), 恒生科技ETF(50%)"
2023-08-11,95617.60835000002,现金
2023-08-18,95538.47459000004,黄金ETF(100%)
2023-08-25,96121.67459000004,黄金ETF(100%)
2023-09-01,97007.27459000003,"黄金ETF(33%), 标普500ETF(33%), 恒生科技ETF(33%)"
2023-09-08,98022.47459000003,"黄金ETF(50%), 标普500ETF(50%)"
2023-09-15,98281.67459000004,"黄金ETF(50%), 红利ETF(50%)"
2023-09-22,98562.47459000004,"黄金ETF(50%), 红利ETF(50%)"
2023-09-29,95027.42507000006,红利ETF(100%)
2023-10-06,95027.42507000006,红利ETF(100%)
2023-10-13,95027.42507000006,现金
2023-10-20,95530.72901000007,黄金ETF(100%)
2023-10-27,95572.12901000006,黄金ETF(100%)
2023-11-03,95799.82901000006,黄金ETF(100%)
2023-11-10,93943.49130500006,现金
2023-11-17,93943.49130500006,现金
2023-11-24,93943.49130500006,现金
2023-12-01,92877.05519000007,"标普500ETF(50%), 黄金ETF(50%)"
2023-12-08,93078.85519000006,"标普500ETF(50%), 黄金ETF(50%)"
2023-12-15,94311.15519000008,"标普500ETF(50%), 黄金ETF(50%)"
2023-12-22,95014.45519000007,"标普500ETF(50%), 黄金ETF(50%)"
2023-12-29,95406.25519000007,"标普500ETF(50%), 黄金ETF(50%)"
2024-01-05,94953.06045500009,黄金ETF(100%)
2024-01-12,94590.75609500009,"标普500ETF(50%), 黄金ETF(50%)"
2024-01-19,94855.79009500009,标普500ETF(100%)
2024-01-26,95673.39009500008,"标普500ETF(50%), 红利ETF(50%)"
2024-02-02,96785.3900950001,"标普500ETF(33%), 黄金ETF(33%), 红利ETF(33%)"
2024-02-09,98148.0900950001,"标普500ETF(50%), 红利ETF(50%)"
2024-02-16,98148.0900950001,"标普500ETF(50%), 红利ETF(50%)"
2024-02-23,98761.29009500009,"标普500ETF(50%), 红利ETF(50%)"
2024-03-01,99159.19009500009,"标普500ETF(33%), 红利ETF(33%), 黄金ETF(33%)"
2024-03-08,100673.3900950001,"标普500ETF(33%), 红利ETF(33%), 黄金ETF(33%)"
2024-03-15,98474.69009500009,"黄金ETF(33%), 沪深300ETF(33%), 标普500ETF(33%)"
2024-03-22,100069.49009500009,"标普500ETF(33%), 黄金ETF(33%), 沪深300ETF(33%)"
2024-03-29,100254.9677800001,"黄金ETF(33%), 标普500ETF(33%), 恒生科技ETF(33%)"
2024-04-05,97655.56626000008,"黄金ETF(33%), 红利ETF(33%), 沪深300ETF(33%)"
2024-04-12,98843.16626000009,"黄金ETF(50%), 红利ETF(50%)"
2024-04-19,100083.05848500009,现金
2024-04-26,100083.05848500009,现金
2024-05-03,95896.09096000009,"沪深300ETF(50%), 恒生科技ETF(50%)"
2024-05-10,99176.7532600001,"沪深300ETF(50%), 红利ETF(50%)"
2024-05-17,99437.7532600001,"沪深300ETF(50%), 黄金ETF(50%)"
2024-05-24,97915.54809000011,"标普500ETF(50%), 红利ETF(50%)"
2024-05-31,98623.21963000012,红利ETF(100%)
2024-06-07,99572.63351000013,"标普500ETF(50%), 黄金ETF(50%)"
2024-06-14,99190.54001000013,标普500ETF(100%)
2024-06-21,100157.34372000014,"标普500ETF(50%), 黄金ETF(50%)"
2024-06-28,100878.65719500012,标普500ETF(100%)
2024-07-05,101450.65719500012,标普500ETF(100%)
2024-07-12,100956.65719500012,标普500ETF(100%)
2024-07-19,100377.04439500014,黄金ETF(100%)
2024-07-26,100377.04439500014,现金
2024-08-02,100377.04439500014,现金
2024-08-09,100377.04439500014,现金
2024-08-16,99433.81847500015,黄金ETF(100%)
2024-08-23,100362.01847500014,黄金ETF(100%)
2024-08-30,100689.61847500016,黄金ETF(100%)
2024-09-06,100598.61847500016,黄金ETF(100%)
2024-09-13,102309.41847500014,黄金ETF(100%)
2024-09-20,103255.81847500015,"黄金ETF(50%), 标普500ETF(50%)"
2024-09-27,102858.21581500015,现金
2024-10-04,102858.21581500015,现金
2024-10-11,102858.21581500015,现金
2024-10-18,102858.21581500015,现金
2024-10-25,102858.21581500015,现金
2024-11-01,103492.59247000015,黄金ETF(100%)
2024-11-08,102629.73301500015,恒生科技ETF(100%)
2024-11-15,97167.36496500013,标普500ETF(100%)
2024-11-22,99011.36496500013,标普500ETF(100%)
2024-11-29,101500.76496500013,标普500ETF(100%)
2024-12-06,103621.36496500013,"标普500ETF(33%), 红利ETF(33%), 恒生科技ETF(33%)"
2024-12-13,104358.96496500014,"标普500ETF(33%), 红利ETF(33%), 恒生科技ETF(33%)"
2024-12-20,100687.80134000014,"红利ETF(50%), 恒生科技ETF(50%)"
2024-12-27,102342.50134000013,"红利ETF(50%), 恒生科技ETF(50%)"
2025-01-03,99777.94928000015,黄金ETF(100%)
2025-01-10,101031.94928000015,黄金ETF(100%)
2025-01-17,101592.94928000015,"黄金ETF(50%), 标普500ETF(50%)"
2025-01-24,102896.44928000015,"黄金ETF(50%), 标普500ETF(50%)"
2025-01-31,102632.44928000015,"黄金ETF(50%), 标普500ETF(50%)"
2025-02-07,106229.44928000015,"黄金ETF(50%), 恒生科技ETF(50%)"
2025-02-14,109281.94928000015,"黄金ETF(50%), 恒生科技ETF(50%)"
2025-02-21,108671.44928000015,"黄金ETF(50%), 恒生科技ETF(50%)"
2025-02-28,106593.00285500016,恒生科技ETF(100%)
2025-03-07,106384.13541500017,"恒生科技ETF(50%), 沪深300ETF(50%)"
2025-03-14,106321.58243000016,"黄金ETF(50%), 恒生科技ETF(50%)"
2025-03-21,104925.81720000017,黄金ETF(100%)
2025-03-28,106221.41720000017,黄金ETF(100%)
2025-04-04,107453.81720000017,"黄金ETF(50%), 红利ETF(50%)"
2025-04-11,108867.91720000017,黄金ETF(100%)
2025-04-18,111316.91720000017,黄金ETF(100%)
2025-04-25,110898.21720000016,黄金ETF(100%)
2025-05-02,110432.11720000017,黄金ETF(100%)
2025-05-09,110906.11720000015,"黄金ETF(50%), 红利ETF(50%)"
2025-05-16,108225.29156000017,红利ETF(100%)
2025-05-23,108844.09156000018,"红利ETF(50%), 标普500ETF(50%)"
2025-05-30,108807.69156000018,"红利ETF(50%), 标普500ETF(50%)"
2025-06-06,108880.49156000017,"红利ETF(50%), 黄金ETF(50%)"
2025-06-13,108916.89156000018,"黄金ETF(33%), 标普500ETF(33%), 红利ETF(33%)"
2025-06-20,109462.89156000018,"标普500ETF(50%), 红利ETF(50%)"
2025-06-27,109972.49156000018,"标普500ETF(50%), 红利ETF(50%)"
2025-07-04,112447.69156000018,"标普500ETF(33%), 红利ETF(33%), 沪深300ETF(33%)"
2025-07-11,113466.89156000018,"标普500ETF(33%), 沪深300ETF(33%), 红利ETF(33%)"
2025-07-18,111647.44833000019,"标普500ETF(33%), 沪深300ETF(33%), 恒生科技ETF(33%)"
2025-07-25,113854.4225650002,"沪深300ETF(33%), 标普500ETF(33%), 红利ETF(33%)"
2025-08-01,112461.2341000002,"标普500ETF(50%), 恒生科技ETF(50%)"
2025-08-08,112828.6764400002,"沪深300ETF(50%), 黄金ETF(50%)"
2025-08-15,113605.7821600002,"沪深300ETF(33%), 标普500ETF(33%), 恒生科技ETF(33%)"
2025-08-22,114660.08775500019,"沪深300ETF(33%), 恒生科技ETF(33%), 红利ETF(33%)"
2025-08-29,116932.88775500019,"沪深300ETF(33%), 标普500ETF(33%), 恒生科技ETF(33%)"
2025-09-05,116033.13143500019,沪深300ETF(100%)
2025-09-12,117563.9810950002,黄金ETF(100%)
2025-09-19,116740.78109500019,"标普500ETF(33%), 黄金ETF(33%), 沪深300ETF(33%)"
2025-09-26,120592.1810950002,"黄金ETF(33%), 标普500ETF(33%), 恒生科技ETF(33%)"
2025-10-03,123223.4810950002,"标普500ETF(33%), 黄金ETF(33%), 沪深300ETF(33%)"
2025-10-10,127089.5810950002,"标普500ETF(33%), 黄金ETF(33%), 恒生科技ETF(33%)"
2025-10-17,141289.78109500022,黄金ETF(100%)
2025-10-24,131396.5413350002,"标普500ETF(50%), 沪深300ETF(50%)"
2025-10-31,134000.34133500018,"标普500ETF(50%), 沪深300ETF(50%)"
2025-11-07,132494.47565000018,"红利ETF(50%), 沪深300ETF(50%)"
2025-11-14,131891.93607500018,"标普500ETF(50%), 红利ETF(50%)"
2025-11-21,129874.38573500018,现金
2025-11-28,129235.45591000016,"黄金ETF(50%), 标普500ETF(50%)"
2025-12-05,129402.85591000016,"黄金ETF(50%), 标普500ETF(50%)"
2025-12-12,130092.45591000016,"黄金ETF(50%), 标普500ETF(50%)"
2025-12-19,130641.85591000017,"黄金ETF(50%), 标普500ETF(50%)"
2025-12-26,133263.85591000016,"黄金ETF(50%), 标普500ETF(50%)"
2026-01-02,130917.26383000014,现金
2026-01-09,130681.16694500015,"标普500ETF(50%), 沪深300ETF(50%)"
2026-01-16,129159.54112000014,"黄金ETF(50%), 沪深300ETF(50%)"
2026-01-23,133733.66207000014,黄金ETF(100%)
2026-01-30,136281.66207000014,黄金ETF(100%)
2026-02-06,134275.51178000015,红利ETF(100%)
2026-02-13,134739.71178000016,红利ETF(100%)
2026-02-20,134739.71178000016,红利ETF(100%)
2026-02-27,138748.71178000016,"红利ETF(50%), 黄金ETF(50%)"
2026-03-06,140985.31178000016,"红利ETF(50%), 黄金ETF(50%)"
2026-03-13,144319.11178000015,红利ETF(100%)
2026-03-20,141449.51178000015,红利ETF(100%)
2026-03-27,139909.67598000017,现金
2026-04-03,139909.67598000017,现金
2026-04-10,139909.67598000017,现金
2026-04-17,139909.67598000017,现金
2026-04-24,140230.3188200002,红利ETF(100%)
2026-05-01,142835.0188200002,"红利ETF(50%), 标普500ETF(50%)"
2026-05-08,138548.50817000022,"标普500ETF(50%), 沪深300ETF(50%)"
2026-05-15,138352.00817000022,"标普500ETF(50%), 沪深300ETF(50%)"
2026-05-22,138481.19120000023,标普500ETF(100%)
2026-05-29,140489.99120000022,"标普500ETF(50%), 沪深300ETF(50%)"
2026-06-05,140796.89120000025,标普500ETF(100%)
2026-06-12,140339.81108000025,现金
2026-06-19,139882.78498000026,标普500ETF(100%)
2026-06-26,135774.93740500027,现金
2026-07-03,135774.93740500027,现金
2026-07-10,135774.93740500027,现金
